GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
codereview,nl.tjonahen.java.codereview.javaparsing.visitor,FQCMap,0,91,1,5,0,25,1,8,0,6
codereview,nl.tjonahen.java.codereview.javaparsing.visitor,MethodCallVisitor,12,447,7,21,0,83,7,23,0,16
codereview,nl.tjonahen.java.codereview.javaparsing.visitor,TypeHierarchyScope,0,9,0,0,0,4,0,2,0,2
codereview,nl.tjonahen.java.codereview.javaparsing.visitor,ScopeTypeVisitor,0,97,0,2,0,24,0,11,0,10
codereview,nl.tjonahen.java.codereview.javaparsing.visitor,EntryPoint,0,45,0,0,0,16,0,8,0,8
codereview,nl.tjonahen.java.codereview.javaparsing.visitor,TypeHierarchyVisitor,0,179,0,8,0,30,0,13,0,9
codereview,nl.tjonahen.java.codereview.javaparsing.visitor,ScopeVariable,0,15,0,0,0,6,0,3,0,3
codereview,nl.tjonahen.java.codereview.javaparsing.visitor,MethodBodyVisitor,0,229,0,14,0,46,0,16,0,9
codereview,nl.tjonahen.java.codereview.javaparsing.visitor,SourceLocation,10,138,3,5,5,36,4,13,1,12
codereview,nl.tjonahen.java.codereview.javaparsing.visitor,ParameterVisitor,0,167,0,6,0,48,0,21,0,18
codereview,nl.tjonahen.java.codereview.javaparsing.visitor,TypeDefiningVisitor,17,241,0,6,0,41,1,15,1,12
codereview,nl.tjonahen.java.codereview.javaparsing.visitor,ScopeType,0,21,0,0,0,8,0,4,0,4
codereview,nl.tjonahen.java.codereview.javaparsing.visitor,TypeHierarchy,0,26,0,0,0,8,0,4,0,4
codereview,nl.tjonahen.java.codereview.javaparsing.visitor,DeclaringMethodVisitor,4,153,1,9,0,27,1,12,0,8
codereview,nl.tjonahen.java.codereview.javaparsing.visitor,CallContext,0,33,0,0,0,12,0,6,0,6
codereview,nl.tjonahen.java.codereview.javaparsing.visitor,ExitPoint,4,67,2,8,2,22,2,10,0,7
codereview,nl.tjonahen.java.codereview.jpa,PersistenceManager,40,0,0,0,8,0,6,0,6,0
codereview,nl.tjonahen.java.codereview.jpa,JpaNode,64,0,12,0,14,0,12,0,6,0
codereview,nl.tjonahen.java.codereview.jpa,JpaEdge,85,0,12,0,23,0,18,0,12,0
codereview,nl.tjonahen.java.codereview.javaparsing,ExtractTypeHierarchy,0,56,0,2,0,13,0,4,0,3
codereview,nl.tjonahen.java.codereview.javaparsing,ExtractExitPoints,0,55,1,3,0,9,1,4,0,3
codereview,nl.tjonahen.java.codereview.javaparsing,ExtractEntryPoints,0,52,1,3,0,9,1,4,0,3
codereview,nl.tjonahen.java.codereview,Main,0,194,0,10,0,29,0,15,0,10
codereview,nl.tjonahen.java.codereview,BuildNeo4J.RelTypes,9,19,0,0,0,2,2,2,2,2
codereview,nl.tjonahen.java.codereview,BuildDerby,207,0,10,0,48,0,13,0,8,0
codereview,nl.tjonahen.java.codereview,BuildNeo4J.new Thread() {...},4,6,0,0,2,1,1,1,1,1
codereview,nl.tjonahen.java.codereview,BuildDot,21,288,1,9,1,53,1,12,0,8
codereview,nl.tjonahen.java.codereview,BuildNeo4J,92,354,21,17,0,73,15,13,0,9
codereview,nl.tjonahen.java.codereview.matching,TypeHierarchyMatching,0,106,1,9,0,20,1,10,0,6
codereview,nl.tjonahen.java.codereview.matching,ExitPointMatching,2,236,1,25,1,48,1,23,0,11
codereview,nl.tjonahen.java.codereview.matching,MatchPoint,0,49,0,0,0,18,0,6,0,6
codereview,nl.tjonahen.java.codereview.files,Find,0,115,0,14,0,27,0,11,0,4
